molecule_chembl_id,canonical_smiles,Activity Class
CHEMBL1172294,N=c1c2ncnc(Nc3ccc(F)cc3)c2ncn1NC(=O)c1ccccc1,1
CHEMBL1172477,N=c1c2ncnc(Nc3ccc(F)cc3)c2ncn1NC(=O)c1ccco1,1
CHEMBL1172478,CC(=O)Nn1cnc2c(Nc3ccc(F)cc3)ncnc2c1=N,1
CHEMBL125613,NNC(=O)c1cnccn1,1
CHEMBL570123,O=C(N/N=C/c1ccc(Cl)cc1)c1cnccn1,1
CHEMBL569410,O=C(N/N=C/c1ccccc1O)c1cnccn1,1
CHEMBL574802,O=C(N/N=C/c1cccc(O)c1)c1cnccn1,1
CHEMBL571695,O=C(N/N=C/c1ccc(O)cc1)c1cnccn1,1
CHEMBL1210481,Nc1cccc(/C=N/NC(=O)c2cnccn2)c1,1
CHEMBL570338,COc1ccc(/C=N/NC(=O)c2cnccn2)cc1,1
CHEMBL1173140,COc1cc(/C=N/NC(=O)c2cnccn2)ccc1O,1
CHEMBL1210542,COc1ccc(/C(C)=N/NC(=O)c2cnccn2)cc1,1
CHEMBL1210543,C/C(=N\NC(=O)c1cnccn1)c1ccc(Br)cc1,1
CHEMBL1210544,Cc1ccc2nc(Cl)c(/C=N/NC(=O)c3cnccn3)cc2c1,1
